url,title,stock, timestamp
https://seekingalpha.com/news/3468219-facebook-minus-1_3-percent-loses-eu-privacy-court-bid,"Facebook -1.3% loses EU privacy court bid", <CRAWLING STOCK>, 1559303768
https://seekingalpha.com/news/3466938-facebook-will-launch-crypto-2020-bbc,"Facebook will launch crypto in 2020 - BBC", <CRAWLING STOCK>, 1558897124
https://seekingalpha.com/news/3466878-facebooks-multibillion-dollar-ftc-settlement-delayed-split-wsj,"Facebook's multibillion-dollar FTC settlement delayed by split - WSJ", <CRAWLING STOCK>, 1558726342
https://seekingalpha.com/news/3466692-facebook-removes-nearly-3_4b-fake-accounts,"Facebook removes nearly 3.4B fake accounts", <CRAWLING STOCK>, 1558688154
https://seekingalpha.com/news/3466690-facebook-winklevoss-held-crypto-talks,"Facebook, Winklevoss held crypto talks", <CRAWLING STOCK>, 1558683830
https://seekingalpha.com/news/3466576-instagram-enables-creators-use-landscape-video-igtv,"Instagram enables creators to use landscape video on IGTV", <CRAWLING STOCK>, 1558639078
https://seekingalpha.com/news/3466351-facebook-ends-commissions-political-ad-sales,"Facebook ends commissions for political ad sales", <CRAWLING STOCK>, 1558608652
https://marketrealist.com/2019/05/why-facebook-considered-ditching-political-advertising?utm_source=seeking-alpha-headline&utm_medium=feed&utm_content=main_permalink&utm_campaign=why-facebook-considered-ditching-political-advertising,"Why Facebook Considered Ditching Political Advertising", <CRAWLING STOCK>, undefined
http://www.marketwatch.com/news/story.asp?guid={894218C6-826A-11E9-83E5-BCEB911F6567}&reflink=seekingalpha,"MarketWatch First Take: Facebook continues to flail about in the eyes of several storms", <CRAWLING STOCK>, undefined
http://www.marketwatch.com/news/story.asp?guid={6F51C3A6-8253-11E9-98EA-ED8EBD33BEC2}&reflink=seekingalpha,"Facebook decided to rethink policies on fake videos two days before Pelosi video", <CRAWLING STOCK>, undefined
https://www.cnbc.com/video/2019/05/31/facebooks-newer-platforms-are-doing-very-very-well-says-analyst.html,"Facebook's newer platforms are doing 'very, very well,' says analyst", <CRAWLING STOCK>, undefined
http://www.zacks.com/stock/news/422554/fb-stock-still-looks-like-a-buy-despite-facebook-zuckerberg-backlash?cid=CS-SEEKAPH-FT-422554,"FB Stock Still Looks Like a Buy Despite Facebook, Zuckerberg Backlash", <CRAWLING STOCK>, undefined
https://seekingalpha.com/news/3465402-instagram-celebs-private-data-exposed-leak-techcrunch,"Instagram celebs' private data exposed in leak - TechCrunch", <CRAWLING STOCK>, 1558372972
https://seekingalpha.com/news/3465167-facebook-sets-swiss-fintech-blockchain-payments,"Facebook sets up Swiss fintech for blockchain, payments", <CRAWLING STOCK>, 1558130006
https://seekingalpha.com/news/3465123-facebook-breakup-last-resort-eu-regulator,"Facebook breakup would be last resort - EU regulator", <CRAWLING STOCK>, 1558121980
https://seekingalpha.com/news/3464691-facebook-purges-inauthentic-content-originating-israel,"Facebook purges 'inauthentic' content originating in Israel", <CRAWLING STOCK>, 1558022225
https://seekingalpha.com/news/3463851-facebook-introduces-one-strike-policy,"Facebook introduces 'one-strike' policy", <CRAWLING STOCK>, 1557916954
https://seekingalpha.com/news/3463244-facebook-roundup-wages-spyware-breakup,"Facebook roundup: Wages, spyware, breakup", <CRAWLING STOCK>, 1557823637
https://seekingalpha.com/news/3462911-slacks-prelim-q1-149_7m-billings-39_4m-loss,"Slack's prelim. Q1: $149.7M billings, $39.4M loss", <CRAWLING STOCK>, 1557751246
